user_second_field	No OdM	Brak zlecenia pracy	No WO	Нет ордера	
work_order_reservations_reservation_per_request	Impegni per richiesta:	Rezerwacja do zgłoszenia	Reservation for notification	Резервирование	
work_order_reservations_reservation	Impegno:	Rezerwacja:	Reservation:	Резервирование на ордер:	
work_order_reservations_reservation_item	Posizione Impegno:	Pozycja rezerwacyjna:	Reservation position:	Позиция резервирования:	
technical_summary_page_title	Consuntivazione Tecnica	Podsumowanie techniczne	Technical summary	Техническое заключение	
technical_summary_footer_button_title	Salva e Chiudi	Zapisz i zamknij	Save and Close	Сохранить и закрыть	
technical_summary_work_order_mandatory	Ordine di Manutenzione*	Work Order*	Work Order*	Work Order*	
technical_summary_work_order	Ordine di Manutenzione	Work Order	Work Order	Work Order	
technical_summary_work_order_type	Tipo di ordine	WO Type	WO Type	WO Type	
technical_summary_operation_mandatory	Operazione*	Operacja*	Operation*	Операция*	
technical_summary_operation	Operazione	Operacja	Operation	Операция	
technical_summary_notification_mandatory	Richiesta*	Notification*	Notification*	Notification*	
technical_summary_notification	Richiesta	Notification	Notification	Notification	
technical_summary_required_end_mandatory	Fine Manut.*	Koniec zadania *	End of Maintenance*	Окончание ремонта*	
technical_summary_required_end	Fine Manut.	Koniec zadania	End of Maintenance	Окончание ремонта	
technical_summary_equipment_affected_mandatory	Equipment Impattato*	Powiązane urządzenia *	Equipment Affected*	Пострадавшее оборудование*	
technical_summary_equipment_affected	Equipment Impattato	Powiązane urządzenia	Equipment Affected	Пострадавшее оборудование	
technical_summary_long_text_placeholder	Note Aggiuntive	Additional Notes	Additional Notes	Additional Notes	
technical_summary_breakdown	Fermo Macchina	Breakdown	Breakdown	Breakdown	
technical_summary_effect	Effetto	Effect	Effect	Effect	
technical_summary_reported_by	Richiesto da	Reported by	Reported by	Reported by	
technical_summary_damage_mandatory	Modo di Guasto*	Tryb awaryjny*	Failure mode*	Повреждение*	
technical_summary_damage	Modo di Guasto	Tryb awaryjny	Failure mode	Повреждение	
technical_summary_damage_description_placeholder	Inserisci la descrizione del guasto	Podaj opis przyczyny	Enter cause description	Описание повреждения*	
technical_summary_damage_description_placeholder_mandatory	Inserisci la descrizione del guasto*	Podaj opis przyczyny*	Enter cause description*	Введите описание причины*	
technical_summary_cause_mandatory	Causa*	Przyczyna*	Cause	Причина поломки*	
technical_summary_cause	Causa	Przyczyna	Cause	Причина поломки	
technical_summary_cause_description_placeholder	Inserisci la descrizione della causa	Podaj opis przyczyny	Enter cause description	Описание причины*	
technical_summary_cause_description_placeholder_mandatory	Inserisci la descrizione della causa*	Podaj opis przyczyny*	Enter cause description*	Enter cause description*	
technical_summary_maintainability_mandatory	Manutenibilità*	Konserwacja*	Maintainability*	Maintainability*	
technical_summary_maintainability	Manutenibilità	Konserwacja	Maintainability	Обоснование	
technical_summary_activities_mandatory	Attività*	Czynność*	Activity*	Activity*	
technical_summary_activities	Attività	Czynność	Activity	Техническое заключение	
technical_summary_toast_message_offline	Dato salvato in locale. %@	Utworzono podsumowanie techniczne. %@	Data saved locally. %@	Data saved locally. %@	
technical_summary_toast_message	Consuntivazione effettuata correttamente. %@	Utworzono podsumowanie techniczne. %@	Technical summary created. %@	Техническое заключение создано. %@	
technical_summary_activities_selected	%@ elementi	%@ Składniki	%@ elements	Операции	
technical_summary_operation_feedback	Esito dell'operazione	Wynik prac	Operation's result	Результат операций	
technical_summary_no_operation_feedback	Nessun elemento	Żadnych przedmiotów	No items	Нет позиций	
technical_summary_operation_feedback_value	%@ elementi	%@ elements	%@ elements	%@ elements	
technical_summary_assign_new_order	Assegnati ad un altro ordine	Assigned to another order	Assigned to another order	Assigned to another order	
select_equipment_affected_page_title	Equipment Impattato	Equipment Affected	Equipment Affected	Equipment Affected	
select_equipment_affected_search_placeholder	Cerca Equipment	Search equipment	Search equipment	Search equipment	
select_equipment_affected_equipment_found	Equipment trovati: %@	Equipment found: %@	Equipment found: %@	: %@	
my_work_list_page_title	Lista Attività	Activity list 	Activity list 	Activity list 	
my_work_list_search_placeholder	Cerca richiesta	Wybierz zgłoszenie	Search notification	Поиск нотификации	
my_work_list_operation_field	Operazione	Operation	Operation	Operation	
my_work_list_priority_field	Priorità	Priority	Priority	Priority	
my_work_list_work_order_type	Tipo di ordine	WO Type	WO Type	WO Type	
select_equipment_or_spareparts_page_title	Aggiungi BOM	Dodaj BOM	Add BOM	Добавить спецификацию	
select_equipment_or_spareparts_header_equipment	Equipment Selezionato: %@	Wybrane urządzenie:	Selected Equipment: %@	Выбранное оборудование:	
select_equipment_or_spareparts_spareparts_found	Parti di ricambio trovate: %@	Znalezione części zamienne: %@	Spare parts found: %@	Поиск запчастей:	
select_equipment_or_spareparts_equipment_found	Equipment trovati: %@	Equipment found: %@	Equipment found: %@	Equipment found: %@	
select_equipment_or_spareparts_search_placeholder	Cerca Equipment/Parti di Ricambio	Wybierz urządzenie / część zamienną	Search equipment/spare parts	Поиск оборудования/ запчастей	
log_out_alert_view_title	Sei sicuro di voler uscire?	Czy na pewno chcesz się wylogować?	Are you sure you want to log out?	Уверены, что хотите выйти из приложения?	
log_out_alert_view_left_button	No	No	No	No	
log_out_alert_view_right_button	Si	Yes	Yes	Yes	
activity_items_page_title	Attività	Activity	Activity	Activity	
activity_items_add_button_title	Aggiungi attività	Dodaj aktywność	Add activity	Добавить активность	
activity_items_delete_button_title	Cancella attività	Zmiana czynności	Change activity	Изменить действие	
activity_items_table_section_header_view_item	Attività (%@)	Czynność (%@)	Activity (%@)	Техническое заключение	
activity_items_footer_button_title	Conferma	Confirm	Confirm	Confirm	
activity_items_activity_cell_title	Attività	Activity	Activity	Activity	
activity_items_activity_cell_description	Nessuna descrizione	Brak opisu	No description	Нет описания	
add_activity_item_page_title	Aggiungi Attività	Add activity	Add activity	Add activity	
add_activity_item_activity_title	Attività	Activity	Activity	Activity	
add_activity_item_activity_description_placeholder	Inserisci la descrizione dell'attività	Wpisz opis pracy	Enter the activity description 	Описание действий	
operation_feedback_page_title	Esito dell'operazione	 Operation's result	 Operation's result	 Operation's result	
operation_feedback_item_title	Operazione	Operation	Operation	Operation	
operation_feedback_operation_title	Operation	Operation	Operation	Operation	
operation_feedback_status_title	Stato Macchina	Stan maszyny	Machine condition	Состояние машины	
operation_feedback_feedback_title	Esito dell'operazione	 Operation's result	 Operation's result	 Operation's result	
operation_feedback_feedback_selected	%@ selezionati	%@ Wybrany	%@ selected	%@ Выбраны	
operation_feedback_feedback_not_selected	Nessun esito	Brak wyników	No result	Не выбран результат операции	
select_multiple_feedback_page_title	Seleziona Esito	Wybierz wynik	Select result	Выбрать результат операции	
select_multiple_feedback_table_section_header	Tutti gli esiti (%@)	Wszystkie wyniki (%@)	All results (%@)	Все результаты (%@)	
select_multiple_feedback_section_header_selected	Selezionati (%@)	Selected (%@)	Selected (%@)	Selected (%@)	
select_multiple_feedback_footer_button_title	Conferma Selezione	Confirmation Selection	Confirmation Selection	Confirmation Selection	
operation_feedback_status_out_of_order	Fuori servizio	Wykonano	Off-duty	Не в работе	
operation_feedback_status_running	In servizio	Aktywny	On duty	В работе	
mobile_reservation_status_now	Al momento	W tym momencie	At the moment	В данный момент	
mobile_reservation_status_never	Mai	Nigdy	Never	Никогда	
show_attachments_page_title	Allegati	Załączniki	Attachments	Вложенные файлы	
show_attachments_close_button_title	Chiudi	Close	Close	Close	
show_attachments_attachments_component	Allegati (%d)	Attachments (%d)	Attachments (%d)	Attachments (%d)	
show_attachments_no_content_label	Nessuna Documentazione Disponibile	Brak dostępnej dokumentacji	No Documentation Available	Нет доступной документации	
search_equipment_documentation_barcode_button_title	Cerca per Codice a Barre	Wybierz kod kreskowy	Search Barcode	Поиск по штрих-коду	
search_equipment_documentation_confirm_button_title	Conferma	Confirm	Confirm	Confirm	
search_equipment_documentation_page_title	Cerca Equipment	Search equipment	Search equipment	Search equipment	
search_equipment_documentation_search_bar_placeholder_text	Cerca per numero equipment	Wybierz urządzenie	Search equipment	Поиск оборудования	
spare_part_details_page_title	Descrizione Pezzo di Ricambio	Opis części zamiennych	Spare parts description	Название запчасти	
spare_part_details_confirm_button	View Doc/Master Data	Wyświetl dokumenty/dane główne	View Doc/Master Data	Основные данные	
spare_part_details_spare_part_title	Pezzo di Ricambio	Spare part	Spare part	Spare part	
spare_part_details_material_type_title	Tipo materiale	Typ materiału	Material type	Тип материала	
material_documentation_page_title	Dati Materiale	Dane materiałowe	Material data	Данные материала	
material_documentation_documentation_section_header	Documentazione	Documentation	Documentation	Documentation	
object_list_page_title	Oggetti	Objects	Objects	Objects	
object_list_equipment	Equipment:	Equipment:	Equipment:	Equipment:	
object_list_equipment_desc	Equipment desc.:	Opis urządzenia:	Equipment description:	Описание оборудования:	
object_list_functional_location	Sede Tecnica:	Functional Location:	Functional Location:	Functional Location:	
object_list_functional_location_desc	Desc. Sede Tecnica:	Opis lokalizacji funkcjonalnej:	Functional Location description:	Название локации	
object_list_short_text	Desc. richiesta	Opis zgłoszenia	Notification description	Название нотификации	
object_list_footer_button_title	Salva	Save	Save	Save	
object_list_save_not_availabe_offline	Salvataggio non disponibile offline	Saving not available offline	Saving not available offline	Saving not available offline	
assignment_detail_page_title	Dettaglio manutentore	Craftman detail	Craftman detail	Craftman detail	
assignment_detail_active_assignment	Assegnazione Attuale	Current assignment	Current assignment	Current assignment	
assignment_detail_received_assignment	Assegnazioni Ricevute	Received Assignment	Received Assignment	Received Assignment	
assignment_detail_button_confirm	Conferma assegnazione	Confirm assignment	Confirm assignment	Confirm assignment	
assignment_detail_assigned_by	Assegnato da	Assigned by	Assigned by	Assigned by	
assignment_detail_date_and_hour	Data e ora	Date and hour	Date and hour	Date and hour	
assignment_detail_order_type	Tipo di OdM	WO type	WO type	WO type	
